country, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, average
Colombia,"13098633901.8673","15341403660.4698","19470960619.1297","23263511958.0509","27940411250.2732","33400735644.0481","36388366869.0309","38968039721.748","38729822781.5997","38253120737.9671","34894411351.983","34942489683.9712","36373307085.0887","39212550050.4223","39540080200.3938","47844090709.9908","49175565911.0655","58418985443.3172","66446804802.5747","81703500846.0364","92507279383.0387","97160109277.8087","106659508271.255","98443739941.1664","86186158684.7685","99886577330.7271","98203546156.3102","97933391976.083","94684584162.773","117074863821.85","145180960224.302","161189825603.139","205706860699.301","241710969502.894","232494134119.684","286103648654.545","334454039093.586","370574421703.06","381866608838.8","381112119657.445","293481748240.779","282856115393.175",1.20925666761e+11
Cabo Verde,"","","","","","142246875.536716","139468114.599741","140630758.594899","138476239.366792","132019065.033419","137728155.212661","190651207.999511","235253171.841062","264308140.285149","267448513.108168","306891107.262039","319827058.592875","357160985.327413","490417389.682569","406580652.330537","487148993.533109","501979069.274683","490608657.924976","521910560.524868","592416703.058878","539227277.626411","563024383.296626","620974660.230303","813963830.179217","924318490.7598","971977088.156914","1107891063.43863","1513933983.22398","1789333748.6799","1711817181.52969","1664310769.55229","1864824080.69256","1751888561.72747","1850470042.43281","1859898513.26858","1596800287.16405","1663008687.09505",785698218.058
Costa Rica,"1960863465.5776","2412555425.90432","3072427012.83547","3523208809.80163","4035519323.22054","4831447001.16686","2623807074.2948","2606621255.01581","3146770103.81027","3660476458.87179","3919203960.39604","4418983870.96774","4532952047.15628","4614629898.40348","5251025767.47627","5711687786.75989","7168999670.28612","8528593420.84326","9537297723.43265","10432619325.6167","11513472785.7207","11618286652.0436","12552071488.0101","13617405297.0624","14195623342.7641","14949514493.4226","15913363440.5059","16504795592.9272","17195867468.4087","18529767918.1536","19952156489.4661","22600431882.9744","26743874205.8521","30612932876.3523","30562361123.0103","37268635287.1516","42262697840.4212","46473128285.4629","49745088111.6217","50577769837.691","54775994478.4981","57157992434.219",16936021922.2
Cuba,"13027415243.9024","13789579902.5579","14206158674.6988","17844705324.6753","19584443287.6712","19912889861.1111","20150254096.3855","20953510235.2941","22204940512.2235","24039383608.4235","22920490774.102","24226574634.0293","25213935012.0819","27458999472.2955","27023468665.8977","28645436569.1489","24316556025.6585","22085858243.2432","22367254864.8649","28448326756.7568","30429803651.2192","25017368696.8455","25365908058.7205","25736331247.1786","28364615241.6894","30565400000","31682400000","33590500000","35901200000","38203000000","42643836074.8","52742800000","58603900000","60806300000","62080000000","64328000000","68990000000","73141000000","77148000000","80656000000","87133000000","91370000000",37212370112.7
Cyprus,"489914760.682807","576090073.715036","734887973.975806","964026512.197839","1288715209.58084","2154311276.94859","2087496373.77964","2159242416.76942","2160364071.19021","2278248953.14058","2430411900.19194","3090734463.27684","3704813885.50548","4278792597.23965","4563482603.5503","5591130217.66965","5770197348.48485","6912150456.32334","6590291048.29211","7425703928.57143","9933143596.37775","10011919698.8708","9547822120.86659","10248619909.5023","10497907227.616","9985843543.82658","10397896174.8634","11420230769.2308","14547327293.3182","17320550000","18433416241.761","20072788859.6161","23968765398.3028","27839724622.8212","25942664629.0636","25562264900.6622","27426994717.8204","25041397918.5404","24084559214.0202","23364707443.2798","19680625485.1946","20453761061.9469",10976998497.6
Czech Republic,"","","","","","","","","","","","","","","","40477403219.5176","29675502269.5661","34590052812.1684","40614350197.2353","47554674590.9328","59775697061.0399","66985765439.1937","61792161168.0011","66490372105.1262","64867483193.1315","61649492816.5201","67523642262.4009","81910771993.9155","99627140274.3805","119162172468.268","136280689891.224","155463807112.889","189227050759.595","235718586901.129","206179982164.402","207477857918.919","227948349666.354","207376427020.815","209402444996.104","207818330723.835","186829940545.759","195305084919.138",1.22508342018e+11
Germany,"488780155338.262","517787921003.573","598226205424.071","737668356280.428","878010536975.776","946695355820.96","797443405711.813","773638200773.757","767768378016.086","722367608343.069","729763282952.432","1042300769791.95","1293264353318.82","1395931548502.06","1393674332154.37","1764967948916.6","1861873895109.02","2123130870381.97","2068555542410.98","2205966011811.5","2591620035485.19","2503665193657.4","2218689375140.99","2243225519617.65","2199957383336.88","1949953934033.54","1950648769574.94","2079136081309.99","2505733634311.51","2819245095604.67","2861410272354.18","3002446368084.31","3439953462907.2","3752365607148.09","3418005001389.27","3417094562648.95","3757698281117.55","3543983909148.01","3752513503278.41","3890606893346.69","3375611100742.22","3477796274496.8",2.09188511757e+12
Dominica,"","","45872947.4074074","57130215.5555556","55017758.8888889","72804653.3333333","82107391.1111111","89527576.6666667","98665191.4814814","109157070.740741","119491932.962963","135161958.518519","151868754.444444","171106184.074074","185137242.962963","201428730","219763222.222222","234058259.259259","245527592.592593","264375666.666667","274522148.148148","292286000","302989185.185185","322409851.851852","331759000","333468888.888889","340205074.074074","333195185.185185","343310666.666667","367199111.111111","364255074.074074","390250148.148148","421375851.851852","458190185.185185","489074333.333333","493824407.407407","501025296.296296","485998000","501979148.148148","523540777.777778","540830666.666667","575468222.222222",288133989.278
Denmark,"40474400473.3563","44575847808.1059","49784281716.4179","60362854966.8154","70366280174.8717","71127592753.5975","61877755004.6326","60412846238.7787","60644833242.2089","59105208272.9853","62658544411.3095","88078729452.4781","109414353171.645","115552848547.872","112409236409.401","138247261092.977","139224732275.463","152915624326.966","143195607581.857","156162311731.598","185006961302.299","187632400365.599","173537588008.176","176992000955.11","177965224620.854","164158800460.219","164791416350.267","178635160297.415","218095997085.477","251373036671.062","264467308109.19","282884912894.33","319423370134.284","353361056079.716","321241396034.248","321995350346.501","344003209695.606","327148899962.146","343584385594.132","352993633221.281","301298464861.385","306899653409.601",1.78906699431e+11
Ecuador,"7731677256.80982","9091924304.83477","11026346589.5011","11922502170.6405","14175166007.5774","17881514682.8784","21810767209.3695","19929853574.6095","17152483214.3536","16912515183.2783","17149094589.9827","15314143988.0621","13945431882.2271","13051886552.3377","13890828707.6493","15239278100.3502","16988535267.6338","18094238119.0595","18938717358.6793","22708673336.6683","24432884442.2211","25226393196.5983","28162053026.5133","27981896948.4742","19645272636.3182","18327764882.4412","24468324000","28548945000","32432858000","36591661000","41507085000","46802044000","51007777000","61762635000","62519686000","69555367000","79276664000","87924544000","95129659000","101726331000","99290381000","99937696000",35124130957.8
Spain,"114465300289.855","118185307386.222","132089531434.83","160163483072.917","214019077342.588","232134606637.271","202257045774.013","195464408602.151","170486866357.309","171635463361.623","180302412230.92","250638463466.793","317882187036.787","375138723325.239","413630538018.271","535101248775.71","575598537069.656","629202392003.901","523649481762.322","529121577319.588","612939685081.398","640998292394.588","588692045454.545","617041986858.225","633194118900.49","595402616546.895","625975838926.175","705145868624.13","906853273137.698","1069555500372.49","1157276458151.97","1264551499184.54","1479341637010.68","1635015380108.39","1499099749930.54","1431616749640.29","1488067258325.2","1336018949805.58","1361854206549.39","1376910811040.88","1197789902774.43","1237255019653.86",7.0242294047e+11
Estonia,"","","","","","","","","","","","","","","","","","","","","4373665145.55468","4746109767.1999","5066240419.29666","5617109244.63233","5726897998.29642","5685774808.80862","6245069734.13302","7322069511.16134","9833870709.12376","12059201242.236","14006088297.4754","16963625015.6818","22237061730.0849","24194039255.8957","19652492636.8436","19490936349.1753","23170239900.7654","23043864510.0543","25137153149.4377","26224622450.8302","22566956982.229","23337907618.5174",14850045294.4
Finland,"29494515597.22","31873171718.726","33524682307.8058","36283091407.9422","44498283620.8213","53685049410.2646","52485533204.7396","52832120389.7866","51014090520.9223","52926394934.7052","55914236377.5902","73586676049.7302","91642093872.5822","109103056147.832","119064708327.56","141517648888.198","127866490222.026","112625431377.754","89255751014.885","103321570859.419","134199346405.229","132099404607.818","126833123353.568","133936359590.565","135225868314.511","125539893126.958","129250111856.823","139552983248.635","171071106094.808","196768065557.487","204436015420.968","216552502822.732","255384615384.615","283742493042.332","251499027507.641","247799815768.477","273674236772.815","256706466091.089","269980111642.898","272609288689.575","232464833065.554","238677672281.611",1.40250427069e+11
Fiji,"684268280.812751","694552411.718837","719533137.126662","829239489.844119","1019743927.24662","1202567359.4132","1235899836.18067","1194015444.01544","1123107276.30285","1177997413.63384","1141210124.82663","1290228616.82408","1177908191.97685","1109976927.91722","1182686577.22645","1337024782.22702","1383843860.1247","1531803060.54558","1635426125.30808","1825285158.11762","1970347720.96992","2129266728.42585","2093994597.21549","1656784779.545","1942170999.18765","1684109743.49338","1660102345.60309","1842691481.09196","2315935752.71653","2727507212.92556","3006725014.78415","3102741451.01664","3405050611.68726","3523185919.55826","2870624635.68032","3140508835.9485","3774530615.65916","3972012570.53467","4190143206.25611","4483416339.93854","4362128146.45309","4671313314.55578",2095752619.63
France,"360832186018.051","372319038514.067","410279486493.715","506707848837.209","613953129818.07","701288419745.421","615552202776.101","584877732308.614","559869179791.72","530683779929.445","553138414367.061","771470783218.108","934173305685.911","1018847043277.17","1025211803413.53","1269179616913.63","1269276828275.78","1401465923172.24","1322815612694","1393982750472.59","1601094756209.75","1605675086549.56","1452884917959.09","1503108739159.44","1492647560196.04","1362248940482.77","1376465324384.79","1494286655373.61","1840480812641.08","2115742488204.62","2196126103718.44","2318593651988.46","2657213249384.07","2918382891460.38","2690222283967.77","2642609548930.36","2861408170264.61","2683825225092.63","2811077725703.59","2852165760630.27","2438207896251.84","2465134297438.91",1.51417921837e+12
United Kingdom,"241756637168.142","232614555256.065","263066457352.172","335883029721.956","438994070309.191","564947710899.373","540765675241.158","515048916841.37","489618008185.539","461487097632.349","489285164271.047","601452653180.885","745162608269.325","910122732123.799","926884816753.927","1093169389204.55","1142797178130.51","1179659529659.53","1061388722255.55","1140489745944.29","1335218557677.13","1408781591263.65","1552483628028.81","1638511096389.53","1665623685487.79","1647951278559.54","1621510004318.41","1768408273381.29","2038395102040.82","2398555474185.28","2520701818181.82","2692612695492.18","3074359743897.56","2890564338235.29","2382825985355.97","2441173394729.62","2619700404733.37","2662085168498.93","2739818680930.19","3022827781881.39","2885570309160.86","2650850178102.14",1.50078866402e+12
Georgia,"","","","","","","","","","","","","","","","7753501867.76095","6357615894.03974","3690328963.64086","2701181331.30816","2513870586.73344","2693731865.97036","3094915511.40755","3510540843.58306","3613500133.04173","2800024337.52473","3057453467.55136","3219487751.95539","3395739836.96871","3991281531.13947","5125362833.31629","6410847045.01065","7745401717.71248","10172869673.5843","12795044475.201","10766809096.1694","11638536861.8315","14434619972.4072","15846474597.7447","16140047041.6347","16509305828.9648","13993546747.7492","14378016729.1587",7716668760.86
Greece,"28525872476.0893","31152840485.0746","36176233117.4838","44270203153.9889","54481875804.9678","56829663469.2246","52346507380.0738","54617991326.5306","49428872678.0186","48020024788.3918","47820850974.5867","56379593719.5716","65652751132.3603","76261278404.9964","79169043642.4675","97891090928.6328","105143232379.884","116224673042.546","108809058858.502","116601802106.742","136878366230.328","145861612825.595","143157600024.959","144428172835.236","142540728958.023","130133845771.144","136191353467.562","153830947016.751","201924270316.027","240521260988.329","247783001865.44","273317737046.795","318497936901.177","354460802548.704","330000252153.376","299361576558.217","287797822093.178","245670666639.047","239862011450.103","237029579260.722","195541761243.144","192690813126.86",1.4579251379e+11
Grenada,"","","71494495.1851852","88322386.2962963","102244362.222222","110900457.037037","115651918.888889","125435590","131803552.222222","145533310.740741","167728455.185185","187589522.592593","215009569.62963","236357523.703704","267327642.222222","278098762.962963","300757888.888889","310160444.444444","309812185.185185","325111814.814815","342172518.518519","366911444.444444","392190592.592593","445903592.592593","482009370.37037","520044370.37037","520444185.185185","540336925.925926","591018407.407407","599118592.592593","695370296.296296","698700666.666667","758683592.592593","825976037.037037","771275555.555555","771013259.259259","778655925.925926","799882259.259259","842620111.111111","911497407.407407","997007925.925926","1061631222.22222",455045103.537
Guatemala,"3645900000","4365300200","5480500200","6070600200","6902600200","7878700000","8607500300","8716999700","9050000400","9470000100","9721652086.95652","7231963515.98173","7084399840","7841602824.42748","8410724360.79546","7650125217.35253","9406097735.09117","10440842165.3193","11399942453.0646","12983235568.2292","14655404433.2771","15674835615.3139","17790026221.6139","19395491992.9939","18318412251.3642","19288827158.9035","18702802783.7199","20776669472.9846","21917706484.5071","23965275999.6426","27211377220.0677","30231249362.2057","34113107084.9436","39136954237.8479","37734072275.5946","41338521642.0274","47654783850.6388","50388460920.182","53851148431.932","58722323918.1604","63767597193.9175","68663653469.1246",21563271168.8
Guyana,"494791666.666667","454440000","449880000","507080000","530440000","603200000","570357107.142857","482000000","489333333.333333","437631605.263158","453488372.093023","504651139.534884","354591846.938775","413799990","379779389.705882","396582263.291139","348533094.812165","373573141.486811","454101382.488479","540874934.201012","621626785.915493","705406001.424501","749138009.56454","717530683.169567","694754988.258295","712667896.727512","712167575.624277","726131434.715338","743064076.794567","787814379.183843","824880550.343965","1458453715.32702","1740180444.25731","1916996251.59539","2061324145.62393","2273224261.15644","2576024015.5869","2861560060.9322","2987684143.46656","3077643261.39312","3197222215.01211","3504024213.07506",1068777342.29
Croatia,"","","","","","","","","","","","","","","","","","","","","22387561849.4125","23678012697.4813","23822087054.1796","25432144399.6238","23386945602.7976","21774273831.5586","23289671100.5932","26868450814.9263","34667270715.9072","41523418157.6131","45347181466.3022","50375095636.2372","60093896109.0123","70474602563.8396","62754161039.069","59844207748.9473","62404149309.6847","56548374546.3441","58147688052.2904","57671307486.8132","49490142433.1046","51640880494.2725",43255523777.7
Hungary,"","","","","","","","","","","","","","","","","34748508332.1068","38724945367.8583","40119073326.3573","43160392123.6053","46418916500.3536","46659796772.5473","47290180588.5993","48770466838.6491","49170434390.9949","47310623887.2319","53821315066.1024","67716887203.4136","85324771841.4118","104066609517.928","113035361316.749","115295199391.606","139850794387.281","157998423131.739","130593960612.172","130922638689.071","140782064609.187","127856647107.82","135215704418.963","140118140454.711","122879042001.915","125816640420.569",89756443780.7
Ireland,"9495166027.87457","9465078403.62298","11261811100.4259","14665538508.0036","18341273855.577","21773901764.0395","20694944733.1728","21500472054.5495","20790917686.2093","20130728786.068","21295486382.9433","28748960470.5384","33961142322.0974","37818134253.1494","39285385087.6214","49364681255.6988","49847128533.4009","55985506498.7271","52480253168.9731","57166037102.4735","69222626262.6263","75880632560.4839","82826146131.8052","90082034316.4742","98691849563.1792","99853528653.0311","109133512304.251","127945379258.423","164285112866.817","193870350136.578","211650764830.245","232085535064.609","269917519846.701","275020023436.356","236311336482.356","221951354761.532","239018536581.675","225571853194.348","239389340720.488","258099014042.117","290617008367.572","304819018067.107",1.12150357749e+11
Iceland,"1386032921.27521","1644755722.67662","2175791270.67934","2474614621.3714","2811162819.05842","3331325037.51876","3441249882.33991","3159121960.89544","2724974072.97084","2822006039.05508","2939845038.39047","3930518365.51983","5438537482.03076","6016168896.17334","5588533007.37354","6372905073.10779","6807365897.52239","6976080330.65779","6126456175.15147","6294803496.77744","7018100153.49728","7330965239.09774","7548912105.47174","8453704212.19223","8917286036.00179","8927140438.33316","8136345143.83431","9207689916.29001","11316441660.0399","13722824251.3004","16691490113.795","17048647567.6831","21319946739.5207","17658408759.0494","12944114736.1985","13310567802.9356","14732689534.5966","14292008745.4017","15548321544.3776","17304033020.5364","16942247373.9704","20304098101.4115",8836624554.91
